,urls,pageviews,users,new_users,returning_users,clean_url
387,https://politics/news/telangana-bjp-appoints-bhupender-yadav-as-election-incharge-for-upcoming-ghmc-polls-11605444842521.html,4,3,1,2,https://politics/news/telangana-bjp-appoints-bhupender-yadav-as-election-incharge-for-upcoming-ghmc-polls
388,https://science/health/covid-19-vaccine-race-spotlight-on-pfizer-moderna-as-trial-data-to-be-released-soon-11601976571287.html,4,4,0,4,https://science/health/covid-19-vaccine-race-spotlight-on-pfizer-moderna-as-trial-data-to-be-released-soon
389,https://technology/apps/whatsapp-latest-feature-now-search-across-your-chats-more-easily/amp-11584010629021.html,4,4,4,0,https://technology/apps/whatsapp-latest-feature-now-search-across-your-chats-more-easily/amp
390,https://technology/tech-news/govt-warns-of-serious-phishing-attack-starting-today-beware-of-this-email-id-11592718991047.html,4,3,2,1,https://technology/tech-news/govt-warns-of-serious-phishing-attack-starting-today-beware-of-this-email-id
391,https://technology/tech-reviews/airtel-xstream-a-chromecast-but-only-for-airtel-subscribers-11576165779214.html,4,4,4,0,https://technology/tech-reviews/airtel-xstream-a-chromecast-but-only-for-airtel-subscribers
392,https://v/s/www.livemint.com/news/world/how-jack-ma-blew-ant-s-35-billion-ipo/amp-11605706616879.html?amp_js_v=0.1&usqp=mq331AQFKAGwASA=,4,1,0,1,https://v/s/www.livemint.com/news/world/how-jack-ma-blew-ant-s-35-billion-ipo/amp-11605706616879.html?amp_js_v=0.1&usqp=mq331AQFKAGwASA=
393,https://Companies/6WaSXrjWbE14UzhVcf6MCI/Sharp-drop-in-travel-agents-in-India-with-Iata-accreditation.html?facet=amp,3,3,2,1,companies/6WaSXrjWbE14UzhVcf6MCI/Sharp-drop-in-travel-agents-in-India-with-Iata-accreditation.html?facet=amp
394,https://Companies/IECJ5J1MJS8PTZpkZ439NN/Twitter-says-India-revenue-has-tripled.html,3,2,0,2,companies/IECJ5J1MJS8PTZpkZ439NN/Twitter-says-India-revenue-has-tripled.html
395,https://Companies/StULwUcXxoys0JEi2NJ6yO/CRIS-has-become-the-backbone-of-Indian-Railways-Sanjaya-Das.html,3,3,2,1,companies/StULwUcXxoys0JEi2NJ6yO/CRIS-has-become-the-backbone-of-Indian-Railways-Sanjaya-Das.html
396,https://Companies/azRCLZeTgjBYVvjzvf1vaO/Patanjali-to-turn-into-a-nonprofit-organization-Baba-Ramde.html,3,3,2,1,companies/azRCLZeTgjBYVvjzvf1vaO/Patanjali-to-turn-into-a-nonprofit-organization-Baba-Ramde.html
397,https://Companies/m49HOIKJfn3CxCICy62R9I/One-winner-one-loser-in-Ofer-brothers-lottery-worth-billio.html?facet=amp,3,3,3,0,companies/m49HOIKJfn3CxCICy62R9I/One-winner-one-loser-in-Ofer-brothers-lottery-worth-billio.html?facet=amp
398,https://Companies/vU1NSyLeitWFe3UioxPPvL/Salary-wars-brew-among-top-law-firms.html?facet=amp,3,3,1,2,companies/vU1NSyLeitWFe3UioxPPvL/Salary-wars-brew-among-top-law-firms.html?facet=amp
399,https://Consumer/MSSonwarPqFFCkpCXICGhN/Why-India-doesnt-love-Star-Wars.html?facet=amp,3,2,1,1,consumer/MSSonwarPqFFCkpCXICGhN/Why-India-doesnt-love-Star-Wars.html?facet=amp
400,https://Consumer/xrILAZp28LE2lKRi9Lmm0O/Surf-Excels-new-ad-campaign-looks-to-update-dirt-is-good.html?facet=amp,3,3,2,1,consumer/xrILAZp28LE2lKRi9Lmm0O/Surf-Excels-new-ad-campaign-looks-to-update-dirt-is-good.html?facet=amp
401,https://Epaper/M/Delhi/20/10/2020/Page/00,3,1,0,1,epaper/M/Delhi/20/10/2020/Page/00
